genes	phenotypes
CCDC172	HP:0000826
CCDC172	HP:0000826
CCDC172	HP:0000826
CCDC172	HP:0000826
CCDC172	HP:0006510
CCDC172	HP:0012410
CCDC172	HP:0031826
CCDC172	HP:0003193
CCDC172	HP:0003193
CCDC172	HP:0002373
CCDC172	HP:0030149
CCDC172	HP:0030834
CCDC172	HP:0011097
CCDC172	HP:0033676
CCDC172	HP:0001279
CCDC172	HP:0011703
CCDC172	HP:0004755
CCDC172	HP:0004756
CCDC172	HP:0012228
CCDC172	HP:0000011
CCDC172	HP:0000012
CCDC172	HP:0005162
CCDC172	HP:0006682
CCDC172	HP:0034041
CCDC173	HP:0005978
CCDC179	HP:0100651
CCDC179	HP:0005978
CCDC179	HP:0008222
CCDC179	HP:0003251
CCDC179	HP:0002180
CCDC179	HP:0001622
CCDC179	HP:0000826
CCDC179	HP:0031826
CCDC179	HP:0031826
CCDC179	HP:0011947
CCDC179	HP:0002895
CCDC58	HP:0001402
CCDC84	HP:0001047
CCDC84	HP:0003251
CCDC84	HP:0000823
CCDC84	HP:0003193
CCDC84	HP:0003193
CCDC84	HP:0012395
CCL4L1	HP:0005112
CCL4L1	HP:0011675
CCL4L1	HP:0001402
CCL4L1	HP:0025318
CCL4L1	HP:0002860
CCL4L1	HP:0002860
CCL4L1	HP:0001639
CCL4L1	HP:0012334
CCL4L1	HP:0005978
CCL4L1	HP:0031249
CCL4L1	HP:0010783
CCL4L1	HP:0001627
CCL4L1	HP:0002564
CCL4L1	HP:0001627
CCL4L1	HP:0002564
CCL4L1	HP:0001409
CCL4L1	HP:0008064
CCL4L1	HP:0033762
CCL4L1	HP:0008222
CCL4L1	HP:0002249
CCL4L1	HP:0001744
CCL4L1	HP:0005162
CDRT1	HP:0003128
CDRT1	HP:0001919
CDRT1	HP:0001915
CDRT1	HP:0001402
CDRT1	HP:0100651
CDRT1	HP:0033165
CDRT1	HP:0003076
CDRT1	HP:0003251
CDRT1	HP:0000112
CDRT1	HP:0006970
CDRT1	HP:0004448
CDRT1	HP:0006554
CDRT1	HP:0006510
CDRT1	HP:0000083
CDRT1	HP:0011097
CDRT1	HP:0005162
CDRT15	HP:0003128
CDRT15	HP:0012028
CDRT15	HP:0033690
CDRT15	HP:0001915
CDRT15	HP:0001878
CDRT15	HP:0001890
CDRT15	HP:0001972
CDRT15	HP:0011675
CDRT15	HP:0002671
CDRT15	HP:0001402
CDRT15	HP:0001402
CDRT15	HP:0030358
CDRT15	HP:0005584
CDRT15	HP:0002860
CDRT15	HP:0001406
CDRT15	HP:0009800
CDRT15	HP:0005978
CDRT15	HP:0000407
CDRT15	HP:0001627
CDRT15	HP:0002564
CDRT15	HP:0001631
CDRT15	HP:0001629
CDRT15	HP:0007475
CDRT15	HP:0003251
CDRT15	HP:0004808
CDRT15	HP:0004836
CDRT15	HP:0004448
CDRT15	HP:0006554
CDRT15	HP:0002725
CDRT15	HP:0006934
CDRT15	HP:0000639
CDRT15	HP:0006510
CDRT15	HP:0012410
CDRT15	HP:0031826
CDRT15	HP:0002373
CDRT15	HP:0011097
CDRT15	HP:0033676
CDRT15	HP:0012228
CDRT15	HP:0032262
CDRT15	HP:0000011
CDRT15L2	HP:0006516
CDRT15L2	HP:0011675
CDRT15L2	HP:0004469
CDRT15L2	HP:0001047
CDRT15L2	HP:0005978
CDRT15L2	HP:0001643
CDRT15L2	HP:0001627
CDRT15L2	HP:0002564
CDRT15L2	HP:0001631
CDRT15L2	HP:0001629
CDRT15L2	HP:0001667
CDRT15L2	HP:0008222
CDRT15L2	HP:0003251
CDRT15L2	HP:0002326
CDRT15L2	HP:0002725
CDRT15L2	HP:0006510
CDRT15L2	HP:0003193
CDRT15L2	HP:0003193
CDRT15L2	HP:0012395
CDRT15L2	HP:0004756
CDRT15L2	HP:0032262
CDRT15L2	HP:0005162
CDY2A	HP:0006519
CDY2A	HP:0012028
CDY2A	HP:0001370
CDY2A	HP:0004469
CDY2A	HP:0001402
CDY2A	HP:0030358
CDY2A	HP:0002860
CDY2A	HP:0030991
CDY2A	HP:0001047
CDY2A	HP:0001627
CDY2A	HP:0002564
CDY2A	HP:0001712
CDY2A	HP:0008222
CDY2A	HP:0004808
CDY2A	HP:0002725
CDY2A	HP:0006510
CDY2A	HP:0005162
